,40.0
a,38.0
aa,104.0
aaa,65.0
aaaah,151.0
aaabusiness,141.0
aaarh,84.0
aaassp,84.0
aach,200.0
aad,20.0
aada,108.0
aade,122.0
aadead,85.0
aadi,138.0
aadido,75.0
aadidura,143.0
aadiduras,100.0
aadiendo,94.0
aadieron,79.0
aadiesen,78.0
aadindose,75.0
aadir,115.0
aadira,51.0
aadirles,113.0
aadise,107.0
aadisele,83.0
aado,128.0
aads,123.0
aaem,130.0
aah,126.0
aalglatten,167.0
aamatter,114.0
aamen,95.0
aaraaf,61.0
aaron,43.0
aarons,110.0
aasca,113.0
aatris,129.0
aatu,180.0
ab,121.0
ababs,127.0
aback,133.0
abad,155.0
abaddon,95.0
abadejo,97.0
abades,126.0
abadesa,68.0
abaft,153.0
abagtha,41.5
abaht,63.0
abaj,119.0
abaja,70.0
abajan,63.0
abajarse,155.0
abajen,51.0
abajo,92.0
abalnzase,72.0
abana,113.0
abandon,76.0
abandonarme,46.0
abandond,114.0
abandoned,86.0
abandonedly,106.0
abandonedmy,107.0
abandonedto,64.0
abandoning,99.0
abandonlengthening,155.0
abandonment,97.5
abandonmentall,74.0
abandonmenthow,76.0
abandons,98.0
abantes,71.0
abantian,96.0
abarbarea,61.0
abare,85.0
abares,104.0
abarian,94.0
abarim,56.0
abarking,104.0
abarraganada,113.0
abarraganados,116.0
abart,77.0
abas,114.0
abase,113.0
abased,87.5
abasement,114.0
abash,115.0
abashd,165.0
abashed,93.0
abasht,72.0
abasing,84.0
abassin,107.0
abatanar,24.5
abatd,75.0
abate,98.0
abated,78.5
abatement,89.0
abatements,74.0
abaten,90.0
abates,88.0
abatido,125.0
abatiendo,81.0
abatieres,115.0
abatieron,78.0
abating,90.5
abatis,110.0
abattoirs,94.0
abaying,93.0
abb,53.0
abba,66.0
abbadon,115.0
abbana,161.0
abbas,113.5
abbate,157.0
abbatial,65.0
abbaye,136.0
abbayein,78.0
abbe,42.0
abbekommen,124.0
abberent,83.0
abbes,146.0
abbess,72.0
abbeville,93.0
abbey,73.0
abbeyland,61.0
abbeymill,90.0
abbeyoh,102.0
abbeys,152.0
abbico,93.0
abbominable,79.0
abbot,79.5
abbots,82.5
abbotsburys,81.0
abbreviate,58.0
abbreviated,115.0
abbreviating,103.0
abbreviation,100.5
abbreviations,146.0
abbs,93.0
abc,95.5
abda,55.0
abdeel,95.0
abdelkader,146.0
abdera,98.0
abdi,117.0
abdias,263.0
abdicate,124.0
abdicated,115.0
abdicates,73.0
abdicating,76.0
abdication,100.0
abdiel,98.0
abdita,131.0
abdol,102.0
abdomen,64.0
abdomens,97.0
abdominal,56.0
abdon,150.0
abducendus,115.0
abducere,110.0
abducted,73.0
abduction,112.0
abductors,73.0
abdys,75.0
abe,156.0
abeakuta,148.0
abeakutic,89.0
abeam,135.0
abear,108.0
abecedarian,90.0
abecedario,104.0
abed,89.0
abedmy,278.0
abednego,128.0
abeggin,96.0
abegging,106.0
abejas,107.0
abel,95.0
abela,195.0
abelard,74.0
abelbethmaachah,60.0
abelderin,141.0
abelmaim,40.0
abelmeholah,101.0
abelmizraim,93.0
abels,177.0
abelshittim,133.0
abencerraje,148.0
abend,100.0
abends,76.0
abenteuer,102.0
aber,40.0
abercrombie,192.0
aberdeen,77.0
aberenjenado,86.0
abergany,79.0
abergavenny,89.0
abernethy,89.0
abernetty,106.0
abernuncio,104.0
aberration,106.5
aberrations,125.0
aberrying,138.0
abertura,136.0
abest,129.0
abet,64.0
abets,68.0
abetted,99.5
abetting,105.0
abettor,58.0
abettors,80.0
abeyance,92.0
abfxustgrnogrkzu,112.0
abgegriffen,114.0
abgehen,135.0
abgeholt,96.0
abgeht,150.0
abgerackerte,247.0
abgerichtet,96.0
abgesehen,116.0
abgestochenes,105.0
abgewendetem,114.0
abgriff,85.0
abhira,57.0
abhominable,63.0
abhor,77.0
abhorr,129.0
abhorrd,88.0
