,106.11405
a,114.35703
aa,104.75
aaa,121.0
aaaah,151.0
aaabusiness,141.0
aaarh,84.0
aaassp,84.0
aach,120.25
aad,52.0
aada,108.0
aadas,117.0
aade,122.0
aadead,85.0
aadi,126.56
aadido,78.5
aadidura,100.42857
aadiduras,105.75
aadiendo,131.66667
aadieron,79.0
aadiese,128.0
aadiesen,78.0
aadindose,78.333336
aadir,115.46154
aadira,51.0
aadirles,113.0
aadise,88.0
aadisele,83.0
aado,111.0
aads,123.0
aaem,130.0
aah,116.0
aalglatten,167.0
aamatter,114.0
aamen,123.0
aaraaf,61.0
aaron,85.53795
aaronites,125.5
aarons,99.171425
aasca,95.5
aatris,129.0
aatu,180.0
ab,125.0
ababs,127.0
aback,119.270836
abacus,93.0
abad,96.4
abaddon,95.0
abadejo,92.666664
abades,126.0
abadesa,70.5
abaft,122.4
abagtha,144.0
abaht,99.0
abaissethe,67.0
abaissiez,155.0
abaj,123.0
abaja,70.0
abajan,63.0
abajarse,125.5
abajen,109.0
abajo,112.0
abalnzase,72.0
abana,113.0
abandon,90.32161
abandonarme,144.0
abandond,90.35294
abandoned,96.8484
abandonedly,106.0
abandonedmy,107.0
abandonedto,64.0
abandoning,104.242424
abandonlengthening,155.0
abandonment,104.125
abandonmentall,74.0
abandonmenthow,76.0
abandons,96.47059
abantes,66.5
abantian,96.0
abarbarea,61.0
abare,85.0
abares,120.2
abarian,94.0
abarim,83.0
abarking,104.0
abarraganada,113.0
abarraganados,116.0
abart,77.0
abas,114.0
abase,103.61539
abased,86.411766
abasement,107.0625
abash,115.0
abashd,121.25
abashed,105.025
abasht,109.2
abasing,77.666664
abassin,107.0
abatanar,85.0
abatd,75.0
abate,93.27586
abated,85.75
abatement,110.0
abatements,68.0
abaten,101.0
abates,102.75
abatfowling,77.0
abatido,140.0
abatiendo,81.0
abatieres,115.0
abatieron,61.5
abating,101.0
abatis,89.5
abattoir,109.0
abattoirs,94.0
abaying,93.0
abb,99.333336
abba,93.25
abbadon,95.0
